id,title,description,difficulty_level,examples,constraints,test_cases
295,Shortest Path with Obstacle Elimination,"You are given an m x n integer matrix grid where each cell is either 0 (empty) or 1 (obstacle). You can move up, down, left, or right from an empty cell to another empty cell in one step.

Return the minimum number of steps to walk from the upper left corner (0, 0) to the lower right corner (m-1, n-1) given that you can eliminate at most k obstacles. If it is not possible to find such walk return -1.",Hard,"[{""input"": {""k"": 1, ""grid"": [[0, 0, 0], [1, 1, 0], [0, 0, 0], [0, 1, 1], [0, 0, 0]]}, ""output"": 6}, {""input"": {""k"": 1, ""grid"": [[0, 1, 0], [0, 1, 0], [0, 1, 0]]}, ""output"": -1}]","[""grid[0][0] == grid[m - 1][n - 1] == 0"", ""grid[i][j] is either 0 or 1."", ""1 <= k <= m * n"", ""1 <= m, n <= 40"", ""n == grid[i].length"", ""m == grid.length""]","[{""input"": {""k"": 1, ""grid"": [[0, 0, 0], [1, 1, 0], [0, 0, 0], [0, 1, 1], [0, 0, 0]]}, ""expected_output"": 6}, {""input"": {""k"": 1, ""grid"": [[0, 1, 0], [0, 1, 0], [0, 1, 0]]}, ""expected_output"": -1}, {""input"": {""k"": 0, ""grid"": [[0, 0, 0], [1, 1, 0], [0, 0, 0], [0, 1, 1], [0, 0, 0]]}, ""expected_output"": 10}, {""input"": {""k"": 1, ""grid"": [[0, 1, 1], [1, 1, 1], [1, 0, 0]]}, ""expected_output"": -1}, {""input"": {""k"": 2, ""grid"": [[0, 0, 1, 0, 1, 1, 0, 0, 1, 0], [1, 0, 0, 0, 0, 1, 0, 0, 0, 1], [0, 0, 1, 1, 0, 0, 0, 1, 0, 0], [0, 1, 0, 0, 0, 1, 1, 0, 1, 0], [0, 0, 0, 1, 1, 0, 0, 1, 0, 0], [1, 0, 0, 1, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 1, 1, 0, 0, 0, 0], [0, 0, 1, 1, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]}, ""expected_output"": 18}]"
296,Check if Element Exists,"Given a sorted array of integers `nums` and an integer `target`, return 1 if the target exists in the array, otherwise return 0.",Easy,"[{""input"": {""nums"": [2, 5, 7, 8, 11, 12], ""target"": 13}, ""output"": 0}, {""input"": {""nums"": [2, 5, 7, 8, 11, 12], ""target"": 12}, ""output"": 1}]","[""-10^4 \u2264 target \u2264 10^4"", ""nums is sorted in ascending order."", ""-10^4 \u2264 nums[i] \u2264 10^4"", ""1 \u2264 nums.length \u2264 10^4""]","[{""input"": {""nums"": [2, 5, 7, 8, 11, 12], ""target"": 13}, ""expected_output"": 0}, {""input"": {""nums"": [2, 5, 7, 8, 11, 12], ""target"": 12}, ""expected_output"": 1}, {""input"": {""nums"": [2, 5, 7, 8, 11, 12], ""target"": 0}, ""expected_output"": 0}, {""input"": {""nums"": [2, 5, 7, 8, 11, 12], ""target"": 5}, ""expected_output"": 1}, {""input"": {""nums"": [1, 2, 3, 4, 5], ""target"": 3}, ""expected_output"": 1}]"
297,Path Sum Existence,"Given a binary tree where each node contains an integer value, determine if there exists a root-to-leaf path such that the sum of all the node values along the path equals a given target sum. Return 1 if such a path exists, and 0 otherwise.",Medium,"[{""input"": {""root"": {""val"": 5, ""left"": {""val"": 4, ""left"": {""val"": 11, ""left"": {""val"": 7, ""left"": null, ""right"": null}, ""right"": {""val"": 2, ""left"": null, ""right"": null}}, ""right"": null}, ""right"": {""val"": 8, ""left"": {""val"": 13, ""left"": null, ""right"": null}, ""right"": {""val"": 4, ""left"": null, ""right"": {""val"": 1, ""left"": null, ""right"": null}}}}, ""targetSum"": 22}, ""output"": 1}, {""input"": {""root"": {""val"": 1, ""left"": {""val"": 2, ""left"": null, ""right"": null}, ""right"": {""val"": 3, ""left"": null, ""right"": null}}, ""targetSum"": 5}, ""output"": 1}]","[""-1000 <= targetSum <= 1000"", ""-1000 <= Node.val <= 1000"", ""The number of nodes in the tree is in the range [0, 5000].""]","[{""input"": {""root"": {""val"": 5, ""left"": {""val"": 4, ""left"": {""val"": 11, ""left"": {""val"": 7, ""left"": null, ""right"": null}, ""right"": {""val"": 2, ""left"": null, ""right"": null}}, ""right"": null}, ""right"": {""val"": 8, ""left"": {""val"": 13, ""left"": null, ""right"": null}, ""right"": {""val"": 4, ""left"": null, ""right"": {""val"": 1, ""left"": null, ""right"": null}}}}, ""targetSum"": 22}, ""expected_output"": 1}, {""input"": {""root"": {""val"": 1, ""left"": {""val"": 2, ""left"": null, ""right"": null}, ""right"": {""val"": 3, ""left"": null, ""right"": null}}, ""targetSum"": 5}, ""expected_output"": 1}, {""input"": {""root"": {""val"": 1, ""left"": {""val"": 2, ""left"": null, ""right"": null}, ""right"": {""val"": 3, ""left"": null, ""right"": null}}, ""targetSum"": 4}, ""expected_output"": 1}, {""input"": {""root"": {""val"": 1, ""left"": {""val"": 2, ""left"": null, ""right"": null}, ""right"": {""val"": 3, ""left"": null, ""right"": null}}, ""targetSum"": 10}, ""expected_output"": 0}, {""input"": {""root"": null, ""targetSum"": 0}, ""expected_output"": 0}]"
298,Minimum Risk Path in a Grid,"You are given a square grid of size N x N where each cell (i, j) has a risk factor associated with it. The risk factor is a non-negative integer. You start at the top-left cell (0, 0) and want to reach the bottom-right cell (N-1, N-1). You can only move right or down. The risk of a path is the sum of the risk factors of all the cells in the path. Find if there exists a path from the start to the end with a risk less than or equal to a given threshold T. Return 1 if such a path exists, and 0 otherwise.",Hard,"[{""input"": {""grid"": [[0, 6, 0], [5, 8, 7], [1, 9, 0]], ""threshold"": 15}, ""output"": 1}, {""input"": {""grid"": [[0, 6, 0], [5, 8, 7], [1, 9, 0]], ""threshold"": 10}, ""output"": 0}]","[""0 \u2264 T \u2264 10000"", ""0 \u2264 grid[i][j] \u2264 100"", ""1 \u2264 N \u2264 100""]","[{""input"": {""grid"": [[0, 6, 0], [5, 8, 7], [1, 9, 0]], ""threshold"": 15}, ""expected_output"": 1}, {""input"": {""grid"": [[0, 6, 0], [5, 8, 7], [1, 9, 0]], ""threshold"": 10}, ""expected_output"": 0}, {""input"": {""grid"": [[0, 1, 0], [0, 0, 0], [0, 0, 0]], ""threshold"": 1}, ""expected_output"": 1}, {""input"": {""grid"": [[100, 100], [100, 100]], ""threshold"": 399}, ""expected_output"": 0}, {""input"": {""grid"": [[1, 2, 3], [4, 5, 6], [7, 8, 9]], ""threshold"": 45}, ""expected_output"": 1}]"
299,Bottleneck Minimum Spanning Tree,"Given a weighted, undirected graph represented by a list of edges, determine if there exists a Minimum Spanning Tree (MST) where the maximum edge weight in the MST is less than or equal to a given threshold. The graph is represented as a list of edges, where each edge is a tuple (u, v, weight), representing an edge between nodes u and v with the given weight. Return 1 if such an MST exists, and 0 otherwise. Assume nodes are numbered from 0 to n-1.",Hard,"[{""input"": {""n"": 4, ""edges"": [[0, 1, 1], [0, 2, 2], [1, 2, 3], [1, 3, 4], [2, 3, 5]], ""threshold"": 3}, ""output"": 1}, {""input"": {""n"": 4, ""edges"": [[0, 1, 5], [0, 2, 10], [1, 2, 3], [1, 3, 4], [2, 3, 5]], ""threshold"": 4}, ""output"": 0}]","[""1 \u2264 threshold \u2264 1000"", ""1 \u2264 weight \u2264 1000"", ""0 \u2264 u, v < n"", ""0 \u2264 number of edges \u2264 n * (n - 1) / 2"", ""1 \u2264 n \u2264 100""]","[{""input"": {""n"": 4, ""edges"": [[0, 1, 1], [0, 2, 2], [1, 2, 3], [1, 3, 4], [2, 3, 5]], ""threshold"": 3}, ""expected_output"": 1}, {""input"": {""n"": 4, ""edges"": [[0, 1, 5], [0, 2, 10], [1, 2, 3], [1, 3, 4], [2, 3, 5]], ""threshold"": 4}, ""expected_output"": 0}, {""input"": {""n"": 5, ""edges"": [[0, 1, 2], [0, 2, 3], [1, 2, 4], [1, 3, 5], [2, 3, 6], [3, 4, 7], [2, 4, 8], [0, 4, 9]], ""threshold"": 6}, ""expected_output"": 1}, {""input"": {""n"": 3, ""edges"": [[0, 1, 10], [1, 2, 5], [0, 2, 15]], ""threshold"": 7}, ""expected_output"": 1}, {""input"": {""n"": 3, ""edges"": [[0, 1, 10], [1, 2, 5], [0, 2, 15]], ""threshold"": 4}, ""expected_output"": 0}]"
319,Find Target,"Given a sorted array of integers `nums` and an integer `target`, return 1 if the target exists in the array, otherwise return 0.",Easy,"[{""input"": {""nums"": [2, 5, 7, 8, 11, 12], ""target"": 13}, ""output"": 0}, {""input"": {""nums"": [2, 5, 7, 8, 11, 12], ""target"": 12}, ""output"": 1}]","[""-10^4 \u2264 target \u2264 10^4"", ""nums is sorted in ascending order."", ""-10^4 \u2264 nums[i] \u2264 10^4"", ""1 \u2264 nums.length \u2264 10^4""]","[{""input"": {""nums"": [2, 5, 7, 8, 11, 12], ""target"": 0}, ""expected_output"": 0}, {""input"": {""nums"": [2, 5, 7, 8, 11, 12], ""target"": 13}, ""expected_output"": 0}, {""input"": {""nums"": [2, 5, 7, 8, 11, 12], ""target"": 12}, ""expected_output"": 1}, {""input"": {""nums"": [2, 5, 7, 8, 11, 12], ""target"": 7}, ""expected_output"": 1}, {""input"": {""nums"": [1, 2, 3, 4, 5], ""target"": 3}, ""expected_output"": 1}]"
300,Complex Password Validator,"Write a regular expression to validate if a password meets the following criteria:

1. Minimum 10 characters long.
2. Contains at least one uppercase letter.
3. Contains at least one lowercase letter.
4. Contains at least one digit.
5. Contains at least one special character (e.g., !@#$%^&*).
6. Should NOT contain any whitespace characters.

Return 1 if the password is valid, otherwise return 0.",Hard,"[{""input"": {""password"": ""A1b@cDefgh""}, ""output"": 1}, {""input"": {""password"": ""short""}, ""output"": 0}]","[""1 \u2264 password.length \u2264 100""]","[{""input"": {""password"": ""A1b@cDefgh""}, ""expected_output"": 1}, {""input"": {""password"": ""Password123!""}, ""expected_output"": 1}, {""input"": {""password"": ""WeakPass""}, ""expected_output"": 0}, {""input"": {""password"": ""NoSpecialChars1""}, ""expected_output"": 0}, {""input"": {""password"": ""AllLowercasenumber""}, ""expected_output"": 0}, {""input"": {""password"": ""ValidPasswordWith$!""}, ""expected_output"": 1}, {""input"": {""password"": ""Valid Password With Space""}, ""expected_output"": 0}]"
301,Check if a Number is a Power of Two,"Given an integer n, determine if it is a power of two. Return 1 if it is, and 0 otherwise.",Easy,"[{""input"": {""n"": 1}, ""output"": 1}, {""input"": {""n"": 16}, ""output"": 1}]","[""-2^31 <= n <= 2^31 - 1""]","[{""input"": {""n"": 1}, ""expected_output"": 1}, {""input"": {""n"": 16}, ""expected_output"": 1}, {""input"": {""n"": 3}, ""expected_output"": 0}, {""input"": {""n"": 0}, ""expected_output"": 0}, {""input"": {""n"": 1024}, ""expected_output"": 1}]"
302,Maximum Points From Non-Overlapping Line Segments,"Given an array of line segments, where each line segment is represented by a pair of integers [start, end] and has a score associated with it. You are also given a limit on the number of line segments you can select. The goal is to select at most 'k' non-overlapping line segments such that the sum of their scores is maximized. Return 1 if it is possible to achieve a score greater than or equal to 'targetScore', otherwise return 0. Overlapping is defined as having any intersection, even at endpoints. If no segments can be selected, the score is 0.",Hard,"[{""input"": {""k"": 2, ""segments"": [[1, 3, 5], [2, 4, 3], [5, 6, 2]], ""targetScore"": 7}, ""output"": 1}, {""input"": {""k"": 1, ""segments"": [[1, 2, 10], [3, 4, 5], [5, 6, 8]], ""targetScore"": 11}, ""output"": 0}]","[""0 <= targetScore <= 100000"", ""1 <= k <= segments.length"", ""1 <= segments[i][2] <= 1000"", ""1 <= segments[i][0] < segments[i][1] <= 1000"", ""1 <= segments.length <= 100""]","[{""input"": {""k"": 2, ""segments"": [[1, 3, 5], [2, 4, 3], [5, 6, 2]], ""targetScore"": 7}, ""expected_output"": 1}, {""input"": {""k"": 1, ""segments"": [[1, 2, 10], [3, 4, 5], [5, 6, 8]], ""targetScore"": 11}, ""expected_output"": 0}, {""input"": {""k"": 2, ""segments"": [[1, 5, 10], [2, 3, 5], [4, 6, 7]], ""targetScore"": 12}, ""expected_output"": 1}, {""input"": {""k"": 3, ""segments"": [[1, 3, 2], [4, 6, 4], [7, 9, 6]], ""targetScore"": 13}, ""expected_output"": 0}, {""input"": {""k"": 3, ""segments"": [[1, 2, 1], [2, 3, 2], [3, 4, 3], [4, 5, 4], [5, 6, 5]], ""targetScore"": 6}, ""expected_output"": 1}]"
303,Minimum Cost to Connect All Cities,"You are given an integer n representing the number of cities. You are also given an array connections where connections[i] = [city1, city2, cost] indicates that it costs 'cost' to connect city1 and city2 together. A graph is fully connected if there is a path between any two cities. Return the minimum cost to connect all the cities such that the graph is fully connected. If it is impossible to connect all the cities, return -1.",Hard,"[{""input"": {""n"": 3, ""connections"": [[1, 2, 5], [1, 3, 6], [2, 3, 1]]}, ""output"": 6}, {""input"": {""n"": 4, ""connections"": [[1, 2, 3], [3, 4, 4]]}, ""output"": -1}]","[""0 <= connections[i][2] <= 100000"", ""1 <= connections[i][0], connections[i][1] <= n"", ""connections[i].length == 3"", ""1 <= connections.length <= 10000"", ""1 <= n <= 10000""]","[{""input"": {""n"": 3, ""connections"": [[1, 2, 5], [1, 3, 6], [2, 3, 1]]}, ""expected_output"": 6}, {""input"": {""n"": 4, ""connections"": [[1, 2, 3], [3, 4, 4]]}, ""expected_output"": -1}, {""input"": {""n"": 5, ""connections"": [[1, 2, 1], [2, 3, 2], [3, 4, 3], [4, 5, 4], [1, 5, 5]]}, ""expected_output"": 15}, {""input"": {""n"": 6, ""connections"": [[1, 2, 1], [2, 3, 2], [3, 4, 3], [4, 5, 4], [5, 6, 5]]}, ""expected_output"": -1}, {""input"": {""n"": 4, ""connections"": [[1, 2, 5], [1, 3, 6], [2, 4, 1], [3, 4, 2]]}, ""expected_output"": 8}]"
304,Check if a Value Exists in a Binary Tree (Preorder Traversal),"Given the root of a binary tree and an integer target, determine if the target value exists within the tree using a preorder traversal. Return 1 if the target exists, otherwise return 0.",Easy,"[{""input"": {""root"": {""val"": 1, ""left"": {""val"": 2, ""left"": null, ""right"": null}, ""right"": {""val"": 3, ""left"": null, ""right"": null}}, ""target"": 2}, ""output"": 1}, {""input"": {""root"": {""val"": 1, ""left"": {""val"": 2, ""left"": null, ""right"": null}, ""right"": {""val"": 3, ""left"": null, ""right"": null}}, ""target"": 4}, ""output"": 0}]","[""-100 <= target <= 100"", ""-100 <= Node.val <= 100"", ""The number of nodes in the tree is in the range [0, 100].""]","[{""input"": {""root"": {""val"": 1, ""left"": {""val"": 2, ""left"": null, ""right"": null}, ""right"": {""val"": 3, ""left"": null, ""right"": null}}, ""target"": 2}, ""expected_output"": 1}, {""input"": {""root"": {""val"": 1, ""left"": {""val"": 2, ""left"": null, ""right"": null}, ""right"": {""val"": 3, ""left"": null, ""right"": null}}, ""target"": 4}, ""expected_output"": 0}, {""input"": {""root"": null, ""target"": 5}, ""expected_output"": 0}, {""input"": {""root"": {""val"": 5, ""left"": null, ""right"": null}, ""target"": 5}, ""expected_output"": 1}, {""input"": {""root"": {""val"": 10, ""left"": {""val"": 5, ""left"": null, ""right"": null}, ""right"": {""val"": 15, ""left"": null, ""right"": null}}, ""target"": 15}, ""expected_output"": 1}]"
305,Coin Change,"You are given an integer array coins representing coins of different denominations and an integer amount representing a total amount of money. Return the fewest number of coins that you need to make up that amount. If that amount of money cannot be made up by any combination of the coins, return -1.",Medium,"[{""input"": {""coins"": [1, 2, 5], ""amount"": 11}, ""output"": 3}, {""input"": {""coins"": [2], ""amount"": 3}, ""output"": -1}]","[""0 <= amount <= 10^4"", ""1 <= coins[i] <= 2^31 - 1"", ""1 <= coins.length <= 12""]","[{""input"": {""coins"": [1, 2, 5], ""amount"": 11}, ""expected_output"": 3}, {""input"": {""coins"": [2], ""amount"": 3}, ""expected_output"": -1}, {""input"": {""coins"": [1], ""amount"": 0}, ""expected_output"": 0}, {""input"": {""coins"": [1, 2, 5], ""amount"": 100}, ""expected_output"": 20}, {""input"": {""coins"": [186, 419, 83, 408], ""amount"": 6249}, ""expected_output"": 20}]"
306,K-th Smallest Element After Sorting Subarrays,"Given an array of integers `nums` and an array of queries `queries`, where each query `queries[i] = [li, ri, k]`. For each query, sort the subarray `nums[li...ri]` (0-indexed) and return the k-th smallest element in the sorted subarray. Return 1 if the k-th smallest element after sorting all subarrays is odd, and 0 if even.",Hard,"[{""input"": {""nums"": [3, 5, 2, 4, 6], ""queries"": [[0, 2, 1], [1, 3, 2]]}, ""output"": 1}, {""input"": {""nums"": [1, 2, 3, 4, 5], ""queries"": [[0, 4, 3], [2, 4, 1]]}, ""output"": 0}]","[""1 <= k <= ri - li + 1"", ""0 <= li <= ri < nums.length"", ""queries[i].length == 3"", ""1 <= queries.length <= 10^4"", ""1 <= nums[i] <= 10^9"", ""1 <= nums.length <= 10^5""]","[{""input"": {""nums"": [3, 5, 2, 4, 6], ""queries"": [[0, 2, 1], [1, 3, 2]]}, ""expected_output"": 1}, {""input"": {""nums"": [1, 2, 3, 4, 5], ""queries"": [[0, 4, 3], [2, 4, 1]]}, ""expected_output"": 0}, {""input"": {""nums"": [7, 9, 4, 1, 8], ""queries"": [[0, 3, 2], [1, 4, 3]]}, ""expected_output"": 0}, {""input"": {""nums"": [2, 2, 2, 2, 2], ""queries"": [[0, 4, 3]]}, ""expected_output"": 0}, {""input"": {""nums"": [1, 3, 5, 7, 9], ""queries"": [[0, 0, 1], [1, 1, 1], [2, 2, 1], [3, 3, 1], [4, 4, 1]]}, ""expected_output"": 1}]"
307,Range Sum Query - BIT,"Given an array of integers nums, implement a function that returns 1 if the sum of elements from index 0 to index i (inclusive) is greater than k, and 0 otherwise, after a single update operation. The update operation consists of adding 'val' to the element at index 'index'. Use Binary Indexed Tree to solve the problem.",Easy,"[{""input"": {""i"": 3, ""k"": 10, ""val"": 2, ""nums"": [1, 2, 3, 4, 5], ""index"": 2}, ""output"": 1}, {""input"": {""i"": 1, ""k"": 5, ""val"": 1, ""nums"": [1, 2, 3, 4, 5], ""index"": 0}, ""output"": 0}]","[""-10^6 <= k <= 10^6"", ""0 <= i < nums.length"", ""-10^5 <= val <= 10^5"", ""0 <= index < nums.length"", ""-10^5 <= nums[i] <= 10^5"", ""1 <= nums.length <= 10^4""]","[{""input"": {""i"": 3, ""k"": 10, ""val"": 2, ""nums"": [1, 2, 3, 4, 5], ""index"": 2}, ""expected_output"": 1}, {""input"": {""i"": 1, ""k"": 5, ""val"": 1, ""nums"": [1, 2, 3, 4, 5], ""index"": 0}, ""expected_output"": 0}, {""input"": {""i"": 4, ""k"": 15, ""val"": 5, ""nums"": [5, 4, 3, 2, 1], ""index"": 4}, ""expected_output"": 0}, {""input"": {""i"": 4, ""k"": 5, ""val"": 1, ""nums"": [1, 1, 1, 1, 1], ""index"": 2}, ""expected_output"": 1}, {""input"": {""i"": 2, ""k"": 50, ""val"": -5, ""nums"": [10, 20, 30, 40, 50], ""index"": 0}, ""expected_output"": 0}]"
308,Largest Prime Factor,"Given a positive integer n, find the largest prime factor of n. If n is prime, return n.",Hard,"[{""input"": {""n"": 13195}, ""output"": 29}, {""input"": {""n"": 600851475143}, ""output"": 6857}]","[""1 \u2264 n \u2264 10^12""]","[{""input"": {""n"": 2}, ""expected_output"": 2}, {""input"": {""n"": 3}, ""expected_output"": 3}, {""input"": {""n"": 6}, ""expected_output"": 3}, {""input"": {""n"": 15}, ""expected_output"": 5}, {""input"": {""n"": 13195}, ""expected_output"": 29}]"
309,Largest Square Submatrix with Divisible Sum,"Given a 2D integer matrix `matrix` and an integer `k`, find the size of the largest square submatrix such that the sum of its elements is divisible by `k`. Return the size of the largest square submatrix. If no such submatrix exists, return 0.",Hard,"[{""input"": {""k"": 3, ""matrix"": [[2, 2, 5], [3, 3, 4], [5, 4, 3]]}, ""output"": 2}, {""input"": {""k"": 7, ""matrix"": [[5, 5, 5, 5], [5, 5, 5, 5], [5, 5, 5, 5]]}, ""output"": 0}]","[""1 <= k <= 10^7"", ""1 <= matrix[i][j] <= 10^4"", ""1 <= matrix[0].length <= 150"", ""1 <= matrix.length <= 150""]","[{""input"": {""k"": 3, ""matrix"": [[2, 2, 5], [3, 3, 4], [5, 4, 3]]}, ""expected_output"": 2}, {""input"": {""k"": 7, ""matrix"": [[5, 5, 5, 5], [5, 5, 5, 5], [5, 5, 5, 5]]}, ""expected_output"": 0}, {""input"": {""k"": 45, ""matrix"": [[1, 2, 3], [4, 5, 6], [7, 8, 9]]}, ""expected_output"": 3}, {""input"": {""k"": 2, ""matrix"": [[1, 1, 1], [1, 1, 1], [1, 1, 1]]}, ""expected_output"": 2}, {""input"": {""k"": 5, ""matrix"": [[1, 2], [3, 4]]}, ""expected_output"": 0}]"
